id,username,created_at,lng,lat,text
1.52098E+18,ScottKumka,Mon May 02 04:28:29 +0000 2022,-80.070926,26.800439,@disneylytical Don't Blink!
1.52098E+18,workatcentral,Mon May 02 04:28:30 +0000 2022,-122.8232553,47.0358969,Our world-class team of people are the heart of Central and is what has built our strong core foundation over the p… https://t.co/Rc0jsZ3qHS
1.52098E+18,coinscankill,Mon May 02 04:28:30 +0000 2022,-118.4119065,34.0207895,I will admit that I pre judged before ever visiting. If I can just do this everytime - and no earthquakes while I'm… https://t.co/9Z3OLiUBih
1.52098E+18,SheakaSpeaks,Mon May 02 04:28:30 +0000 2022,-75.117998,40.0048655,"Did you know that including the workd ""tips"" in your subject line can help drive conversions?⚡⚡ GURU Insider Quick… https://t.co/8fHNix8rCN"
1.52098E+18,Racsam2313Mario,Mon May 02 04:28:31 +0000 2022,-118.222017,33.8849685,@_Deshaun2001 Wild Frank Holliday
1.52098E+18,josie_oneil_,Mon May 02 04:28:31 +0000 2022,-96.7617535,32.8198585,Fell in love with @justinbieber all over again 🤩🫶🏼🤍#JusticeTourDallas https://t.co/LewwfTnym9
1.52098E+18,JosueMa48431765,Mon May 02 04:28:31 +0000 2022,-119.3066075,37.2691755,@1jessicakevibes Green  SweetCakes
1.52098E+18,serranobritney1,Mon May 02 04:28:32 +0000 2022,-96.621634,32.907642,@barkeeperfriend @AllClad I cook almost everyday and @AllClad is My dream cookware!!! @Bridgee9
1.52098E+18,VEGASGILFIE,Mon May 02 04:28:32 +0000 2022,-115.133373,36.2491245,"Already planning the next getaway, this one was too much fun... the new videos/ pics that were posted are proof 😉🍑🍆"
1.52098E+18,dblanddd,Mon May 02 04:28:32 +0000 2022,-86.611411,34.7060265,Don’t repeat ya self
1.52098E+18,dessy_bunny,Mon May 02 04:28:33 +0000 2022,-104.789327,38.8885185,Still confused as to why my tumblr is recommending me wwe smut fanfics
1.52098E+18,jorgeveryday,Mon May 02 04:28:33 +0000 2022,-86.1429225,39.7795625,It me
1.52098E+18,feoadlf,Mon May 02 04:28:33 +0000 2022,-98.7130845,29.550182,Lord of the plains https://t.co/ZOM4nL63bh
1.52098E+18,EMozee101,Mon May 02 04:28:33 +0000 2022,-90.1580165,32.230987,@LheirTy @CoachWeeksJSU Come join #THEE family and be #LEGENDARY https://t.co/69M51c4y3R
1.52098E+18,Littlefoot1181,Mon May 02 04:28:34 +0000 2022,-93.166616,44.8184775,Men's summit 2022 @Gatewaychurch in Texas! War! (Hooh!) https://t.co/jwSV1E3qKb
1.52098E+18,Lil_Roy10,Mon May 02 04:28:34 +0000 2022,-100.0768885,31.1688935,"Yo it just crossed my mind I really visited Tennessee, North Carolina, New Jersey and New York all within a month. #blessed 🙏🏽"
1.52098E+18,BeckyBurleigh,Mon May 02 04:28:34 +0000 2022,-95.3268995,29.5478845,Forever grateful for such meaningful conversations with Gator coaches!
1.52098E+18,MargoBr91733585,Mon May 02 04:28:34 +0000 2022,-123.421838,48.5819835,@TMZ Oh large...hummm maybe NOT😅😅😅😅
1.52098E+18,Bathan_Nurgess,Mon May 02 04:28:34 +0000 2022,-94.702325,39.202492,"From one Ridgeback owner to another, RIP OTIS! I have yet to lose a pet, but I truly couldn’t imagine living a day… https://t.co/zTGXDJHumz"
1.52098E+18,gEEKsquid2,Mon May 02 04:28:35 +0000 2022,-70.2663,43.6587,"Just posted a photo @ Portland, Maine https://t.co/8IMlUyrtQM"
1.52098E+18,Pez7777,Mon May 02 04:28:35 +0000 2022,-95.400973,30.124856,@Jenn2__ @AmandiOnAir He's just another one of these https://t.co/Kvxm5W98ib
1.52098E+18,jazkey2004,Mon May 02 04:28:35 +0000 2022,-106.654188,31.859378,"https://t.co/3LEZzaZS7bThe conservative Democrat appeared in an ad for Rep. David McKinley, who is facing Trump-e… https://t.co/TeqrjAS1El"
1.52098E+18,braindeaddogs,Mon May 02 04:28:35 +0000 2022,-111.8808735,33.2824505,where they at https://t.co/xSW5wJPFT5
1.52098E+18,kissames,Mon May 02 04:28:36 +0000 2022,-121.8737305,37.331159,@molchmeister @311_roxy @pnut @sapfoot @WeakCookies @311 @NickHexum @ghostwolfmusic Does not describe autoimmune
1.52098E+18,PurpleVIKodin,Mon May 02 04:28:36 +0000 2022,-96.053431,41.275721,@MicahCochrane2 @aktj620 @NSP_DogDivision @NSPTrooperCook I hope you laughed at this bc no one else did. https://t.co/hwH4dhaafy
1.52098E+18,JohnJohnColer,Mon May 02 04:28:37 +0000 2022,-94.5592815,39.1000485,May 1st.It is time for the Maystache. 👨🏻
1.52098E+18,Icecat_Laflaree,Mon May 02 04:28:37 +0000 2022,-73.8311875,40.6708795,Can’t let them get me out my element that’s a weak mind….🧠
1.52098E+18,Joshawott09,Mon May 02 04:28:38 +0000 2022,-117.397616,33.935822,@DeanScorpion_ Patrick Beverley has heart.
